state,sat_participation_rate,sat_total_score
Alabama,0.06,1166
Alaska,0.43,1106
Arizona,0.29,1149
Arkansas,0.05,1169
California,0.6,1076
Colorado,1.0,1025
Connecticut,1.0,1053
Delaware,1.0,998
District of Columbia,0.92,977
Florida,0.56,1099
Georgia,0.7,1064
Hawaii,0.56,1010
Idaho,1.0,1001
Illinois,0.99,1019
Indiana,0.63,1074
Iowa,0.03,1265
Kansas,0.04,1265
Kentucky,0.04,1248
Louisiana,0.04,1210
Maine,0.99,1013
Maryland,0.76,1080
Massachusetts,0.8,1125
Michigan,1.0,1011
Minnesota,0.04,1298
Mississippi,0.03,1236
Missouri,0.04,1262
Montana,0.1,1198
Nebraska,0.03,1252
Nevada,0.23,1140
New Hampshire,0.96,1063
New Jersey,0.82,1094
New Mexico,0.16,1093
New York,0.79,1068
North Carolina,0.52,1098
North Dakota,0.02,1283
Oklahoma,0.08,1062
Ohio,0.18,1099
Oregon,0.48,1117
Pennsylvania,0.7,1086
Rhode Island,0.97,1018
South Carolina,0.55,1070
South Dakota,0.03,1240
Tennessee,0.06,1231
Texas,0.66,1032
Utah,0.04,1010
Vermont,0.64,1120
Virginia,0.68,1117
Washington,0.69,1081
West Virginia,0.28,999
Wisconsin,0.03,1294
Wyoming,0.03,1257
